name,total_length,compressed_length,compression_ratio,file_size
00e5594e643869464a0cb679f4c006d9221401d1939fac8aa048b2008eb9af18,738638.0,126408.0,5.843285,721681.0
00c763f110d095a689c8c227a94ba13cb36df967c4dcfd2b5aab0aba74df78e5,6553543.0,1245387.0,5.262254,6371443.0
00da1ec8b4b2832056b13e77af850e2bbb22f4d36dd2ae4f7d2c589ada03c4c3,4428957.0,752179.0,5.888169,4334537.0
00e31d7a2f11052c747ccf42d120690cc2ada52ac1074abcbb6794baca0919d0,2609932.0,365064.0,7.1492453,2546889.0
00dc15e0f732827b1f30e545853d7eb47fb7c752f455b400cd5e49de2f9509cc,4208043.0,865750.0,4.860575,4058648.0
00f02a6cb7e47d77603bbf20876d2397794828cb62cfae341b929976afec513c,185061.0,31960.0,5.7903943,181000.0
00efd65ca8eae4834e5e82e8f7d357808b854f8ad930adc41759c3863f7b44f3,535499.0,91762.0,5.835738,522210.0
00ebe3319fdb72a21cf25e2c3d05c620f8c82b36ddc7accc23ee8553649b762d,793107.0,135964.0,5.8332133,773685.0
00f450e5e8ce386e5e8f6231fa5b98ebdf08bb85a4fd3cdca88b1aebabef42e1,39392.0,7449.0,5.2882266,38307.0
00e5491a346dbf8da1b842067e878370be1618d23ecb0cb5b683c645af4674a1,3197758.0,609662.0,5.2451324,3115260.0
00f4da6837a0b1fb76971a1cd7ee8cce0b777f91ab1e98339d240ceed8d37412,324684.0,58830.0,5.519021,316774.0
00f911969262b8d8f9834d3b8121c7d840519bd10fc30d64b62317cdcf5b9d20,662855.0,108761.0,6.094602,647114.0
00ea030650f42a85d6ef0c7ffeddd019299becf2d1a67e0bb6848477bc811e15,3653975.0,686328.0,5.3239484,3552611.0
00fe26cfe465740e61b99f105bcf2516ff49e117f23f4b508d5256c57fa3fc66,867315.0,163098.0,5.317754,843606.0
00feb7f27c1a52b2a45572607935e8090b20b22b46ce497071a03401b3687b3c,638645.0,121773.0,5.2445536,621397.0
00ff2a6d7d22cabdf74bb1188a574677c86efcf8954075966f435ab36ed120fc,341176.0,44920.0,7.5951915,335066.0
00f15110634e8002a6cedbc1b98f44573f5cd6d841a7d31d53e150c616c8ee6c,4044420.0,687506.0,5.8827415,3957416.0
0101310c8d6dabca4f0be4ab0de8170f4cb74bd37b15d84bc6ff4d3ad4515268,569050.0,101813.0,5.5891685,553428.0
010312149b971552db10f00830a0817ebb179ac6013292bb4f1db0378f9b9a82,245422.0,46718.0,5.2532644,238641.0
0106f2f811e8f9fa6253ac9ac9d6e16f7bac32fcc2235f945d34f18adf73867c,167551.0,36691.0,4.566542,161119.0
00f378e525c18d38a5b596b5ea7dd3f0b15276cae8a50410ea8d67e86f1b2cc8,5795746.0,1110647.0,5.218351,5649756.0
