name,file_size,num_nodes,num_edges,num_loops,num_calls,num_jumps,num_ret,num_conditional_jumps,average_out_degree,average_in_degree
005c5592bcf85f27d4f2974f9519e15b8bdf9b0a0da5107641ae57d083474c20,1258706,13059,22436,4,7855,649,337,1957,1.7180488551956503,1.7180488551956503
005e5899be9487f36ad88b7c02c618fecd770b7bd91a4129d54b7eb2f66f27aa,657324,7080,11060,14,2179,820,473,2306,1.5621468926553672,1.5621468926553672
005f178ebd6f6065b472bc7608bdc00b0e6d1c62cc9aa8820392cca17ae31c42,37334,410,645,6,97,18,30,155,1.5731707317073171,1.5731707317073171
005f22b65f38af9711537471dd523087e0786dc99f449db907f0e276bd1f7d5c,845352,9656,14609,36,3147,992,790,2751,1.5129453189726594,1.5129453189726594
00608e9164b0cf062f5ba65c0df4f1a943cb9b58ab2cad8f22980ab4ee3efd1a,57713,672,585,6,10,10,331,239,0.8705357142857143,0.8705357142857143
0063602c8d3ade366a3b1eb77f52b8449349af330adf6aaf8965eed911023fe4,18201,289,472,0,18,12,8,174,1.6332179930795847,1.6332179930795847
00648735e53d5374ef9557b0b02fe7096cbfb6206fc0fd03c5a9a14a2af27c09,33106108,304315,500181,241,147761,14634,25747,83209,1.643629134285198,1.643629134285198
006a290c7dd295cc0dce72e1a458994725af67f4340e41060f6ee2812865c37f,86178,1022,1110,0,33,15,20,78,1.086105675146771,1.086105675146771
006be4a43d02108fb49c27551fa878efc13342dcfdb8019d7848cb91ba64b6bc,1156518,12535,19857,69,3469,1444,918,4816,1.5841244515357,1.5841244515357
007129141cddbadef6a5992fe0a9340966c3bed8e57cf86923eb283ea9a4a38a,984331,8712,14047,87,2641,1023,531,3274,1.6123737373737377,1.6123737373737377
0071b93058f24e2ae2702b7dabdc8885f7d320b4b604c47df0ed240f7db53a72,6198880,74938,83026,0,3591,1593,1140,5642,1.107929221489765,1.107929221489765
0071f328a547b50bb5776201294bebb27362df756e6dc2caae13043d57a232ca,40645417,498641,572431,3,52001,14908,11663,34402,1.1479822156621695,1.1479822156621695
007224cf73cbc4c6826cf7c916101b5196e9a910de3b040b57669fdde0e9f0b8,203627,1989,3079,4,616,265,127,608,1.5480140774258422,1.5480140774258422
007377d2c9d6a4b176d3029d68f8b89d1109994db6d2686f32605b2303e72ae9,301076,3458,3620,0,58,51,90,272,1.046847888953152,1.046847888953152
0077316771421b750b05a43f4a385cee540d6edb1dc201a720b2a08f184510c0,44538,525,658,4,90,39,91,157,1.2533333333333334,1.2533333333333334
0078c327a41442fcd8edb997a41374456cb017099ee300e21008ed12d4f3598a,823001,9054,13891,86,2053,1025,803,3598,1.5342390103821515,1.5342390103821515
007eb013e7bee5e22a0f7eae976a0ffec604dffcc841f9a699417c14dd475602,1809260,16230,26602,127,4859,2281,785,6375,1.6390634627233518,1.6390634627233518
00835e2950268607b41b047fb962720594db24e526ec37f00e7e8f141f92f88f,65271,968,1616,0,377,317,77,44,1.6694214876033058,1.6694214876033058
00837efd82b73e5ae699d47d1c7fdbd441fc2d4258fe24d5368ab34b6f478189,38573,607,965,0,305,32,77,135,1.5897858319604612,1.5897858319604612
008855aab29c845b8f4b5343166f78588afd6348467e65f4d78261547ee0e3d5,95347,870,1383,3,216,132,71,369,1.589655172413793,1.589655172413793
008e7701d757fcd335d0de6944a4af9b72406ec4e0218b08ae49d6dfffbccda9,16548695,151187,237702,1101,41532,19815,13538,59544,1.572238353826718,1.572238353826718
008ecd2c552c00a4cef7b9e5bb64eb27e36da8cb5cb7e16498966eaa19cd07ad,130700,1419,1946,1,243,252,166,487,1.3713883016208597,1.3713883016208597
008ff3e114e52884e2105373a4c366c5aeb7ee663d0da09c02786a1e03918866,61918,709,612,4,3,11,354,259,0.8631875881523272,0.8631875881523272
0090019cdecf4e4a32e951a4e5fa255d7903b1b5efe1038a8771e7d4d5721a41,464510,5179,8126,14,1485,828,399,1802,1.569028770032825,1.569028770032825
00906e4151797d1a80f475a291ff4081c7d21cb196382b1cc82df2b1c4044aef,37144276,399739,623957,3901,131779,49289,30806,127386,1.5609109944238615,1.5609109944238615
00979e9f4133a34279d60dc18c82e9a6590a8184c3bb220a823f6beab61da448,20908,346,521,0,191,21,66,51,1.5057803468208093,1.5057803468208093
009a43a8f87f343e623fef9e4290c63a59d35f6d3be4732d574c301888558316,253074,2188,3367,44,291,401,70,1005,1.5388482632541134,1.5388482632541134
009a7ff521a71d937fcb3f58837192d32bc9de078784fd42bf4f3e303c984201,509312,4584,7455,10,1434,319,246,1888,1.6263089005235605,1.6263089005235605
00a10d07277a7230bf72e4a77a4fd0a7b7b8d031e671e16432f7838676cb2456,16705,213,213,2,7,5,79,77,1.0,1.0
00a16b603a383437bee040ca582e16e1b1abb1ecfc225d76f043cb528061d041,17400,192,277,0,0,0,0,100,1.4427083333333333,1.4427083333333333
00a20a5799aa786e2711b43682cf9d533719d5e404c2c5ef1709ac8fdec585f1,37026,443,508,0,5,3,5,93,1.146726862302483,1.146726862302483
00a25fd7e092e2e5ee2840a1672c7ccba6aaed6d9ecad2475d30c4be83e77331,49607,446,752,0,198,34,24,140,1.6860986547085202,1.6860986547085202
00a2d74504680d63e273769bd8bcbef31ddfacfa99a8b3432ff5dce9d2b3f177,14310902,177661,194340,1,10812,3118,3524,10285,1.093881043110193,1.093881043110193
00a385629b115390ebbca4226d4415465bf7d1c8a9c8ad9f96b00c427b141c11,89465,847,1019,0,0,1,0,191,1.203069657615112,1.203069657615112
00a7d6c58e599ffeb883a84903a08c3c423cf9a2e8ade2258ffa37663e36b1a6,15736940,158726,186635,0,14433,6318,2050,15582,1.1758313067802375,1.1758313067802375
00a9a7ad7b4af99fd29bc28f8ab6999ed4c2329fa240acd90a989945654255ec,28400382,321401,482419,365,53490,15474,13642,124670,1.500987862514429,1.500987862514429
00ab29f665d6a710b4ee8623a9e52584a87a6140b4878d8f64ed3caf2e93a77d,1583704,14665,23427,141,3812,1244,1383,6440,1.5974769860211389,1.5974769860211389
00ad36f3cc905afcfcfb40d399c633f133b21100d59b98124afba877ab934aa8,312620,4683,7641,0,2679,629,395,555,1.6316463805253043,1.6316463805253043
00adbcb3d7178fd7f60a3406c35c6b9acb459c9f77e42c43698f79b1570933e7,333715,2801,3252,0,2,1,3,508,1.1610139235987147,1.1610139235987147
00aefc221f17b340e1dc2765702b1d70e1f7359dcc53138eec985d2c36b6c796,123288,1819,3042,0,1253,40,273,227,1.6723474436503574,1.6723474436503574
00afbe982d31febcb1ac6b34b4d990900abf6411999b713bc6b49a453a3f7625,289686,3113,4925,26,898,217,268,1157,1.5820751686476069,1.5820751686476069
00b52d478241fcb0247f51c934988ef0a77f16cd883257bd9d705ae71bc0821f,67287,646,992,2,248,75,64,178,1.5356037151702786,1.5356037151702786
00b9e680355207c3b70e66bec5a980b269a53b61296ee7a67e49d51835447f1d,145766,1559,2086,9,116,49,107,616,1.3380372033354715,1.3380372033354715
00b9e739eec0fcdd708b4880c35e455003a8bd8eb8037a8a3cc10707bf8889a9,829537,8679,14663,24,3089,669,604,3505,1.6894803548795945,1.6894803548795945
00bb81efd3a536ebc21802b086b63365bd19b71f5161ca6cf996cbf8b7a8895f,20786,257,256,0,0,0,0,0,0.9961089494163424,0.9961089494163424
00bbba5788687c1ee73bd6629e9d77e79bd147711e69a8e5163489f7edaa07dc,1302053,15645,17770,0,868,757,404,1638,1.135826142537552,1.135826142537552
00bc281c7a28c9e3a43b29a8a85789049e29759179b10768497ae3e8efd4e56c,2259071,23413,37361,119,7297,2050,1194,8309,1.5957374108401317,1.5957374108401317
00bc31827122f0f94c10f3547faebfa273b56882c740367595f87342d088a982,24035,277,310,2,10,4,79,108,1.11913357400722,1.11913357400722
00bdb4919804250c7fa8018e79161812564cbb80765265466000116c92dc5a66,4914233,49606,77072,740,14094,5809,4793,17020,1.5536830222150546,1.5536830222150546
00bf6e6e2f6ef38412ea71fb7c17af9a8731bc33b2584e4ff852673feb79cbd4,32671,369,349,4,4,8,161,139,0.94579945799458,0.94579945799458
00c0415505d6649dcbe9f956dee1b3fd63ad8f7d47fc715d17da928dcd652505,3367206,40861,48050,0,3454,1325,799,4464,1.1759379359291255,1.1759379359291255
